"NAME";"ORIGINAL SIZE";"AFTER RESTRICTING TO DATASET";"STATUS"
"ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING (GO:0060055)";33;27;""
"ANGIOTENSIN_ACTIVATED_SIGNALING_PATHWAY (GO:0038166)";23;19;""
"ANIMAL_ORGAN_FORMATION (GO:0048645)";69;66;""
"ANIMAL_ORGAN_MATURATION (GO:0048799)";32;28;""
"ANIMAL_ORGAN_MORPHOGENESIS (GO:0009887)";1038;NA;"Rejected!"
"ANIMAL_ORGAN_REGENERATION (GO:0031100)";53;49;""
"ANOIKIS (GO:0043276)";36;34;""
"ANTERIOR_COMMISSURE_MORPHOGENESIS (GO:0021960)";7;NA;"Rejected!"
"ANTERIOR_HEAD_DEVELOPMENT (GO:0097065)";7;NA;"Rejected!"
"ANTERIOR_POSTERIOR_AXIS_SPECIFICATION (GO:0009948)";60;45;""
"ANTERIOR_POSTERIOR_AXON_GUIDANCE (GO:0033564)";7;NA;"Rejected!"
"ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION (GO:0009952)";224;180;""
"ANTEROGRADE_AXONAL_TRANSPORT (GO:0008089)";47;44;""
"ANTEROGRADE_DENDRITIC_TRANSPORT (GO:0098937)";11;NA;"Rejected!"
"ANTEROGRADE_DENDRITIC_TRANSPORT_OF_NEUROTRANSMITTER_RECEPTOR_COMPLEX (GO:0098971)";7;NA;"Rejected!"
"ANTEROGRADE_NEURONAL_DENSE_CORE_VESICLE_TRANSPORT (GO:1990048)";6;NA;"Rejected!"
"ANTIBACTERIAL_HUMORAL_RESPONSE (GO:0019731)";79;42;""
"ANTIBACTERIAL_INNATE_IMMUNE_RESPONSE (GO:0140367)";12;NA;"Rejected!"
"ANTIBACTERIAL_PEPTIDE_PRODUCTION (GO:0002778)";9;NA;"Rejected!"
"ANTIBODY_DEPENDENT_CELLULAR_CYTOTOXICITY (GO:0001788)";10;NA;"Rejected!"
"ANTIFUNGAL_HUMORAL_RESPONSE (GO:0019732)";13;NA;"Rejected!"
"ANTIFUNGAL_INNATE_IMMUNE_RESPONSE (GO:0061760)";23;NA;"Rejected!"
"ANTIGEN_PROCESSING_AND_PRESENTATION (GO:0019882)";120;97;""
"ANTIGEN_PROCESSING_AND_PRESENTATION_ENDOGENOUS_LIPID_ANTIGEN_VIA_MHC_CLASS_IB (GO:0048006)";5;NA;"Rejected!"
"ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN (GO:0019883)";31;23;""
"ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN (GO:0002483)";24;21;""
"ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN (GO:0019884)";50;38;""
"ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN (GO:0002478)";41;34;""
"ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I (GO:0042590)";9;NA;"Rejected!"
"ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II (GO:0019886)";31;25;""
"ANTIGEN_PROCESSING_AND_PRESENTATION_OF_LIPID_ANTIGEN_VIA_MHC_CLASS_IB (GO:0048003)";7;NA;"Rejected!"
"ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN (GO:0048002)";72;59;""
"ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I (GO:0002474)";37;33;""
"ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB (GO:0002428)";16;NA;"Rejected!"
"ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II (GO:0002504)";37;30;""
"ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB (GO:0002475)";23;16;""
"ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY (GO:0050851)";214;162;""
"ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE (GO:0061844)";134;74;""
"ANTIMICROBIAL_HUMORAL_RESPONSE (GO:0019730)";184;100;""
"ANTIMICROBIAL_PEPTIDE_PRODUCTION (GO:0002775)";11;NA;"Rejected!"
